dia,tempo,temperatura,umidade,vento,joga
D1,Ensolarado,Quente,Alta,Fraco,Não
D2,Ensolarado,Quente,Alta,Forte,Não
D3,Nublado,Quente,Alta,Fraco,Sim
D4,Chuva,Ameno,Alta,Fraco,Sim
D5,Chuva,Fresco,Normal,Fraco,Sim
D6,Chuva,Fresco,Normal,Forte,Não
D7,Nublado,Fresco,Normal,Forte,Sim
D8,Ensolarado,Ameno,Alta,Fraco,Não
D9,Ensolarado,Fresco,Normal,Fraco,Sim
D10,Chuva,Ameno,Normal,Fraco,Sim
D11,Ensolarado,Ameno,Normal,Forte,Sim
D12,Nublado,Ameno,Alta,Forte,Sim
D13,Nublado,Quente,Normal,Fraco,Sim
D14,Chuva,Ameno,Alta,Forte,Não